Date/Time,Word Count,ar,de,en,es,es-419,fr,it,ja,ko,pl,pt-BR,ru,tr,zh-Hans
2022.09.07-08.22.21,1920,0,0,1920,0,0,0,0,0,0,0,0,0,0,0
2022.10.04-06.18.06,1935,0,0,1935,0,0,0,0,0,0,0,0,0,0,0
